KK & S_RR & S_HC & S_SA & P_RR & P_HC & P_SA \\ 
15221 & 378513965 & 564814143 & 236435133 & 33 & 87 & 39 \\ 
4698 & 247802808 & 695657346 & 2810386 & 8 & 120 & 42 \\ 
87462 & 1152267200 & 59370390 & 33474904 & 130 & 234 & 84 \\ 
15538 & 290987364 & 314119230 & 186358096 & 28 & 3204 & 104 \\ 
1117477 & 51730079 & 55862253 & 107348503 & 117 & 937 & 7 \\ 
1210919 & 389955279 & 243369935 & 426690267 & 23 & 349 & 195 \\ 
73594 & 1824901834 & 191255390 & 214492288 & 16 & 258 & 200 \\ 
116332 & 148751436 & 169229530 & 470513884 & 214 & 1060 & 416 \\ 
179885 & 94702523 & 321333595 & 182254693 & 25 & 2719 & 71 \\ 
218400 & 66849000 & 150872576 & 51706480 & 220 & 1108 & 418 \\ 
5370594 & 56022082 & 229240078 & 17549206 & 426 & 636 & 50 \\ 
84387 & 72809285 & 26463791 & 400831829 & 173 & 143 & 149 \\ 
189284 & 721549894 & 573593134 & 62749374 & 4 & 648 & 50 \\ 
59354 & 534040514 & 528015858 & 612059592 & 142 & 1514 & 378 \\ 
18016 & 1122906292 & 404102596 & 426037722 & 36 & 56 & 80 \\ 
1101397 & 626725603 & 131164293 & 79194919 & 271 & 307 & 9 \\ 
76723 & 374403037 & 269249915 & 184349725 & 253 & 187 & 71 \\ 
8388 & 73192214 & 428686568 & 570435998 & 68 & 482 & 2 \\ 
315933 & 354249204 & 301963829 & 256081810 & 157 & 720 & 188
