KK & S_RR & S_HC & S_SA & P_RR & P_HC & P_SA \\ 
93133 & 46771649 & 473482873 & 120993525 & 171 & 437 & 105 \\ 
211503 & 1141171121 & 147060507 & 477082617 & 319 & 891 & 167 \\ 
146158 & 439965472 & 285323060 & 468496576 & 130 & 172 & 14 \\ 
169640 & 112883412 & 194448306 & 424013890 & 38 & 1552 & 256 \\ 
200662 & 88689850 & 505008388 & 216969142 & 86 & 1046 & 62 \\ 
976644 & 122312230 & 361239938 & 42688864 & 242 & 84 & 8 \\ 
8274 & 744729238 & 9430136 & 536091534 & 278 & 172 & 392 \\ 
22907 & 412368671 & 329927333 & 108125779 & 13 & 329 & 261 \\ 
176691 & 19437015 & 444015281 & 6589681 & 197 & 1781 & 17 \\ 
232749 & 86218223 & 89730441 & 111479123 & 35 & 255 & 201 \\ 
37912 & 401792118 & 361179696 & 89267476 & 398 & 140 & 188 \\ 
95534 & 191925166 & 285678816 & 1038413838 & 142 & 162 & 248 \\ 
10845 & 431496737 & 285824305 & 356755849 & 357 & 9 & 85 \\ 
30516 & 51882024 & 879758152 & 228573470 & 252 & 844 & 66 \\ 
264889 & 7671011 & 460662391 & 160928613 & 83 & 545 & 37 \\ 
28990 & 510627822 & 484680526 & 41538694 & 172 & 216 & 108 \\ 
41600 & 233547774 & 6805450 & 74984532 & 54 & 502 & 150 \\ 
209908 & 708647468 & 173610780 & 665490036 & 52 & 548 & 328 \\ 
244313 & 307869138 & 327096339 & 282568068 & 153 & 845 & 226
